"Last crawled date","Author User Id","GPT Id","GPT Category","GPT Url","GPT Name","GPT Conversations","GPT Avg Stars","GPT Total Reviews","GPT Total Stars","GPT Description","GPT Creation Date","GPT Creation Datetime","GPT Update Date","GPT Update Datetime","GPT Logo Image URL","GPT Sharing Method","GPT Prompt Starter 1","GPT Prompt Starter 2","GPT Prompt Starter 3","GPT Prompt Starter 4","GPT Tags","GPT Capabilities Types","GPT Capabilities Actions Domains"
"2024-03-19","user-MV1EPMI80LBUBFXL3yqj7TxP","g-kZ0eYXlJe","research","https://chat.openai.com/g/g-kZ0eYXlJe-scholar-gpt","Scholar GPT",800000,4.08,20195,82298,"Enhance research with 200M+ resources and built-in critical reading skills. Access Google Scholar, PubMed, JSTOR, Arxiv, and more, effortlessly.","2023-11-15","2023-11-15T09:04:21.004009+00:00","2024-03-12","2024-03-12T20:01:54.060111+00:00","https://files.oaiusercontent.com/file-gk3ACPm7Tvy5DHe5aE9fqJ0W?se=2123-12-19T11%3A10%3A14Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DFrame%2520612.png&sig=dTPAPU4773Mz4PPaC6kCzsTf7ZiFgLSs/z3%2B3uGxkqY%3D","marketplace","Find the latest research about AI","I'll provide a research paper link; Please analyze it","I will upload a PDF paper; Use critical skills to read it","Type ""LS"" to list my built-in crtical reading skills","public,reportable,uses_function_calls","browser,dalle,plugins_prototype,python","actions.sider.ai"
"2024-03-19","user-kaLQEupNDJ0ap1k0b2JAGhfy","g-cKXjWStaE","programming","https://chat.openai.com/g/g-cKXjWStaE-python","Python",300000,4.19,11424,47903,"A highly sophisticated GPT tailored for advanced Python programmers focusing on efficient and high-quality production code.","2023-12-07","2023-12-07T18:59:39.703721+00:00","2024-03-12","2024-03-12T06:34:37.824957+00:00","https://files.oaiusercontent.com/file-d1qj0wM8dorXSQFOHHG0xXo2?se=2123-11-14T04%3A22%3A18Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3D6c49541c-80ef-4466-9a4d-26b4f7ec1512.png&sig=DDGVKBK6DEhorfml8Q%2B/Z30JXUbM1W5cX/kkis9hgw8%3D","marketplace","How do I use you?","Please write an advanced example script to demonstrate your capabilities.","","","public,reportable","browser,dalle,python",""
"2024-03-19","user-eVKpydNkxr0zraI4tNzN06Hc","g-vI2kaiM9N","productivity","https://chat.openai.com/g/g-vI2kaiM9N-whimsical-diagrams","Whimsical Diagrams",300000,4.11,6161,25313,"Explains and visualizes concepts with flowcharts, mindmaps and sequence diagrams.","2023-11-25","2023-11-25T04:06:45.916593+00:00","2024-03-10","2024-03-10T20:32:28.491681+00:00","https://files.oaiusercontent.com/file-w1wRg58ZPtZgXXTQJqiEwJ4H?se=2124-01-06T16%3A22%3A56Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DWhite%2520Icon%2520on%2520Gradient%2520SQ%25402x.png&sig=9eaJvzM4CZfWuo08Mik5OfaxwqRbEfZl0J333af9dRo%3D","marketplace","Show escalation process flowchart.","Sequence diagram for OAuth 2.0 flow.","Generate sitemap for a food delivery company.","Visualize ChatGPT architecture.","public,reportable,uses_function_calls","browser,dalle,plugins_prototype,python","whimsical.com"
"2024-03-19","user-SH2vazdt6sUC8qHmC7wVoX8I","g-eiZWZS9lY","","https://chat.openai.com/g/g-eiZWZS9lY-summarizer-v2","Summarizer V2",100000,"",0,0,"TV show content processor with markdown-formatted recap, FAQ, and summary modes.","2023-12-05","2023-12-05T04:06:08.503411+00:00","2023-12-07","2023-12-07T23:48:25.396661+00:00","https://files.oaiusercontent.com/file-N77cheT7HGwJbaMbDm0YXJVv?se=2123-11-11T04%3A09%3A44Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D1f0d988e-0527-4255-b9d4-8b31348edac9.png&sig=AdRpuiyY5dmbiqLi3TaWPwBrXqREsVQFo4mIzD9Rj5k%3D","link","","","","","public,reportable","",""
"2024-03-19","user-b9sOQBarVjq9fr2EHTgYvebX","g-cJtHaGnyo","productivity","https://chat.openai.com/g/g-cJtHaGnyo-slide-creator","Slide Creator",100000,3.92,2453,9615,"Creates PowerPoint presentations.  Exports to PowerPoint, Google Slides & PDF.","2023-11-09","2023-11-09T22:35:09.263942+00:00","2024-03-11","2024-03-11T13:06:22.852567+00:00","https://files.oaiusercontent.com/file-gpYBWGifOu031arODeM7grRp?se=2123-10-20T15%3A06%3A10Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DScreenshot%25202023-11-13%2520at%252016.02.15.png&sig=DgydBB/GeLeC14RXZ2ZV55qTRVP4luE6KlIZV1vTxs8%3D","marketplace","Make a presentation about the future of AI","Create a presentation on 2024 trends in banking","Create an outline for Innovations in Laboratory Science first, then the presentation","Tell me what you can do","public,reportable,uses_function_calls","browser,plugins_prototype","slidesgpt.com"
"2024-03-19","user-Axl3HnY1uTtlXzadazVeXgnN","g-0gFt7qej4","productivity","https://chat.openai.com/g/g-0gFt7qej4-presentation-slides","Presentation Slides",50000,3.75,1396,5234,"Crafts Detailed and Effective Presentations","2023-11-09","2023-11-09T03:31:55.207705+00:00","2024-03-15","2024-03-15T06:57:33.860422+00:00","https://files.oaiusercontent.com/file-PZ4AAfjYZgcOkUaaSfzI0QX8?se=2124-02-19T02%3A46%3A14Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3DDALL%25C2%25B7E%25202024-03-13%252022.45.57%2520-%2520Create%2520an%2520icon%2520of%2520a%2520presentation%2520board%2520with%2520a%2520pie%2520chart%252C%2520similar%2520to%2520the%2520uploaded%2520reference%2520image.%2520The%2520icon%2520should%2520be%2520simplistic%2520and%2520feature%2520clean%2520line.webp&sig=qRnri72rX%2Bb3UibANZiFT1GShp9Z4avI9zvZgoaedSI%3D","marketplace","Can you help me create a presentation on renewable energy?","How can I make my startup pitch deck more engaging?","I need to prepare a presentation on market analysis. Can you assist?","What are the key elements of an effective sales presentation?","public,reportable","browser,dalle",""
"2024-03-19","user-W4RSJYlsPeIuHlo2t5nYIWRd","g-FvojGs7rD","research","https://chat.openai.com/g/g-FvojGs7rD-stock-robo-ai-stock-analyst","Stock Robo   AI Stock Analyst",50000,3.53,489,1728,"AI Stock Analyst specializing in stock forecast and analysis for US stocks and ETFs, using a Causal Intelligence Model. Copilot for your trading.","2023-12-14","2023-12-14T07:02:38.494395+00:00","2024-03-11","2024-03-11T18:03:30.951394+00:00","https://files.oaiusercontent.com/file-xeia14QOjSUgEAyEtAtxTWNr?se=2123-12-03T07%3A40%3A36Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D1209600%2C%20immutable&rscd=attachment%3B%20filename%3Drobo12.png&sig=UmUKTMw1hTKpz5D5IXs3SGm%2BhrQmewYEcXHCv%2BUbdXc%3D","marketplace","Stock analysis for Microsoft","Stock analysis for Amazon","Stock analysis for SPY","Stock analysis for Apple","public,reportable,uses_function_calls","browser,plugins_prototype,python","api.prod.stockcode.ai"
"2024-03-04","user-NdHyFakxhpbGbQ7RgdZpZKGK","g-Gpu8ZMR52","productivity","https://chat.openai.com/g/g-Gpu8ZMR52-capcut-videogpt","CapCut VideoGPT",25000,3.45,140,483,"Ideas to videos or designs with vast templates. Text-to-video with auto voiceover and elements.","2023-11-17","2023-11-17T06:53:55.754505+00:00","2024-02-29","2024-02-29T19:25:58.678017+00:00","https://files.oaiusercontent.com/file-y6jo8cnsXtZ2muiAYAl0giGH?se=2123-10-24T06%3A55%3A28Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dlogo.png&sig=odi5P25X4UbUpn0d2IaKXr3aCyRg%2B/yUuGmkxYT%2B%2BQg%3D","marketplace","Generate a video about Olympic Games,16:9","Make a poster celebrating the New Year,1:1","Make a YouTube video on the topic: Specialty Coffee","Recommend some popular TikTok video templates,9:16","public,reportable,uses_function_calls","browser,plugins_prototype","www.capcut.com"
"2024-03-12","user-qUiMDuxoTzmXhNSgt3nYlTNc","g-UshQCD23y","productivity","https://chat.openai.com/g/g-UshQCD23y-ppt-powerpoint-maker-bot",".PPT Powerpoint Maker Bot",25000,2.96,521,1544,"GPT that creates and gives you downloadable ppt files","2023-11-09","2023-11-09T19:25:10.379873+00:00","2024-03-12","2024-03-12T06:36:41.453649+00:00","https://files.oaiusercontent.com/file-6hgMxmyk2W2701dzgVdHd9Qj?se=2123-10-16T20%3A05%3A30Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Ddownload%2520%25281%2529.jpg&sig=yFd4QTvMkVzEEPzqiUSCmGwCzesFwK2q%2B/u04Z69CuM%3D","marketplace","I want to create a ppt for","I want a ppt (no images, no theme, just text) for","","","public,reportable","browser,dalle,python",""
"2024-03-19","user-MgRtm9y7uoZ0w24a2FGyW83e","g-MJM52gB3D","other","https://chat.openai.com/g/g-MJM52gB3D-video-gpt","Video GPT",25000,3.61,212,765,"AI Video Maker. Generate videos for social media - YouTube, Instagram, TikTok and more! Free text to video & speech tool with AI Avatars, TTS, music, and stock footage.","2024-01-25","2024-01-25T03:07:46.946324+00:00","2024-03-14","2024-03-14T19:36:01.308396+00:00","","marketplace","","","","","public,reportable","",""
